country_code,country_name,paper_count,citations,github_linked_papers,research_to_code_score,bridge_score,degree
TR,TR,24,919,3,0.125,0.006243949661181026,43
TT,TT,1,1,0,0.0,0.0001452081316553727,1
TW,TW,48,6113,3,0.0625,0.011907066795740563,82
TZ,TZ,1,0,0,0.0,0.0001452081316553727,1
UA,UA,1,255,0,0.0,0.0021781219748305903,15
UG,UG,2,317,0,0.0,0.0008712487899322362,6
US,US,676,143117,110,0.16272189349112426,0.07303969022265247,503
VN,VN,17,3553,2,0.11764705882352941,0.004646660212971926,32
YE,YE,5,266,0,0.0,0.0021781219748305903,15
ZA,ZA,4,983,0,0.0,0.005227492739593417,36
